mot_cle,algorithme,automatisation,big data,bitcoin,blockchain,chatgpt,cloud computing,cybersécurité,data science,deep learning,gpu,ia,intelligence artificielle,machine learning,metaverse,nvidia,openai,robot,réalité virtuelle,serveur
algorithme,1.0,-0.07008211137540633,0.6363551671265864,0.154745817892912,0.3562411513605745,-0.3341559110687664,0.05571382754396605,-0.025729601257435716,0.04082423384260392,0.1871630890825135,-0.18229436937233737,-0.3109951433324091,0.0022421531925456086,0.14260964247766375,0.39658834864835146,-0.1939552469925915,-0.17504791472918396,0.18005018433615785,0.5258581502970181,0.45727036486636186
automatisation,-0.07008211137540633,1.0,-0.22688485576981893,0.12512782360466856,0.036368637459427894,0.8292253339104277,0.6093161232146475,0.6323964513798178,0.4830874815483292,0.5246578824664296,0.7631814225635823,0.898197757017291,0.7679164181126524,0.5938993578802353,-0.09119727143789168,0.7882434952095482,0.7207494198692379,0.13912036123690744,0.025819298361058965,-0.13362530972323697
big data,0.6363551671265864,-0.22688485576981893,1.0,0.010217544614375082,0.30002664971043846,-0.2744095961800058,0.316073111671827,-0.28472658619113705,0.39916416339743394,0.4080145803032851,-0.012992169321546003,-0.37009403960185766,-0.3575055588377684,0.35974914460207613,0.23378148127439577,-0.10572967084521173,-0.13803549910973997,0.10940877040015771,0.36287364289536067,0.335480219313423
bitcoin,0.154745817892912,0.12512782360466856,0.010217544614375082,1.0,0.6015950048773095,0.08283938759429603,0.24842564225456107,0.08050895476684884,0.21513449665885637,0.19868733239326683,0.22950538144780716,0.08941189780860996,-0.0022714754558212473,0.20590760052801452,0.12970428630990607,0.2349928168027978,0.01598190326254893,0.2586805704241141,-0.050365684959829835,0.2269958260127082
blockchain,0.3562411513605745,0.036368637459427894,0.30002664971043846,0.6015950048773095,1.0,-0.047002919374739945,0.2359501139319751,-0.07383653727441807,0.25239789695666376,0.30256737975222897,0.12040855115374316,-0.1338540623689739,-0.17389436207014433,0.2827462463306432,0.6414184025193433,-0.003086140299907535,-0.08572195290107723,0.21584407808818457,0.1741817817423153,0.30208106764495807
chatgpt,-0.3341559110687664,0.8292253339104277,-0.2744095961800058,0.08283938759429603,-0.047002919374739945,1.0,0.6421788644901429,0.4419864080239212,0.5250825949844209,0.48607244643208675,0.8128210380221504,0.9325713470658573,0.6159090659638112,0.5520891816721999,-0.2939265599510694,0.7664445369723908,0.8112487790025724,0.2554671492870831,-0.13965726465560876,-0.24253670874936298
cloud computing,0.05571382754396605,0.6093161232146475,0.316073111671827,0.24842564225456107,0.2359501139319751,0.6421788644901429,1.0,0.2163176938938978,0.9356485944186601,0.9080885923721607,0.9028394275688794,0.5761402684323722,0.32316739727233057,0.9253827047764224,-0.03719049734438899,0.7578022769035215,0.7415543659481842,0.37317223116067727,0.16900473413706035,0.029358469988012836
cybersécurité,-0.025729601257435716,0.6323964513798178,-0.28472658619113705,0.08050895476684884,-0.07383653727441807,0.4419864080239212,0.2163176938938978,1.0,0.1352590017995562,0.1997073027316495,0.3617019805909051,0.6535574686768078,0.8197407292031388,0.22930449473802045,-0.08076875730671303,0.4752445439714043,0.3720130602501336,0.040944321121839676,0.06975264626306255,0.0451781412812682
data science,0.04082423384260392,0.4830874815483292,0.39916416339743394,0.21513449665885637,0.25239789695666376,0.5250825949844209,0.9356485944186601,0.1352590017995562,1.0,0.9516553983436694,0.8530818237107394,0.4196442909876169,0.20971788582731674,0.9548361600292765,0.05217527721011136,0.6356940140079408,0.7030438008484241,0.25537969920187836,0.19965097162299103,0.033879701208940474
deep learning,0.1871630890825135,0.5246578824664296,0.4080145803032851,0.19868733239326683,0.30256737975222897,0.48607244643208675,0.9080885923721607,0.1997073027316495,0.9516553983436694,1.0,0.8038304311817394,0.41049679486044316,0.3054309157150835,0.9788472888169306,0.14190122635310803,0.5895970674987581,0.6998253826721929,0.2605747199820882,0.30774298477518813,0.1606477691295197
gpu,-0.18229436937233737,0.7631814225635823,-0.012992169321546003,0.22950538144780716,0.12040855115374316,0.8128210380221504,0.9028394275688794,0.3617019805909051,0.8530818237107394,0.8038304311817394,1.0,0.7691448027052183,0.5040428917104888,0.8551070472560661,-0.08325230001889183,0.856649497872999,0.8572625716847339,0.30791976967864626,0.06766880800024554,-0.06625030773151613
ia,-0.3109951433324091,0.898197757017291,-0.37009403960185766,0.08941189780860996,-0.1338540623689739,0.9325713470658573,0.5761402684323722,0.6535574686768078,0.4196442909876169,0.41049679486044316,0.7691448027052183,1.0,0.7682099365961649,0.4785315430224208,-0.32406165772717715,0.8280317955576914,0.7378272379244327,0.2193147259011488,-0.10257221982196049,-0.18012959078831303
intelligence artificielle,0.0022421531925456086,0.7679164181126524,-0.3575055588377684,-0.0022714754558212473,-0.17389436207014433,0.6159090659638112,0.32316739727233057,0.8197407292031388,0.20971788582731674,0.3054309157150835,0.5040428917104888,0.7682099365961649,1.0,0.3489595232926295,-0.178852371335964,0.5794204474306097,0.6547702558140929,0.08186462226481116,0.11681187992662653,-0.006699350911932232
machine learning,0.14260964247766375,0.5938993578802353,0.35974914460207613,0.20590760052801452,0.2827462463306432,0.5520891816721999,0.9253827047764224,0.22930449473802045,0.9548361600292765,0.9788472888169306,0.8551070472560661,0.4785315430224208,0.3489595232926295,1.0,0.12106955918962765,0.6620090710040774,0.7435816533358753,0.26550412863442396,0.27096600217219735,0.14145985747641598
metaverse,0.39658834864835146,-0.09119727143789168,0.23378148127439577,0.12970428630990607,0.6414184025193433,-0.2939265599510694,-0.03719049734438899,-0.08076875730671303,0.05217527721011136,0.14190122635310803,-0.08325230001889183,-0.32406165772717715,-0.178852371335964,0.12106955918962765,1.0,-0.19262142005514848,-0.19649467179374536,-0.05367772814891339,0.4599696709777324,0.3651384613731138
nvidia,-0.1939552469925915,0.7882434952095482,-0.10572967084521173,0.2349928168027978,-0.003086140299907535,0.7664445369723908,0.7578022769035215,0.4752445439714043,0.6356940140079408,0.5895970674987581,0.856649497872999,0.8280317955576914,0.5794204474306097,0.6620090710040774,-0.19262142005514848,1.0,0.704504235947826,0.2941630220059889,0.029493354149980184,-0.03066309760979879
openai,-0.17504791472918396,0.7207494198692379,-0.13803549910973997,0.01598190326254893,-0.08572195290107723,0.8112487790025724,0.7415543659481842,0.3720130602501336,0.7030438008484241,0.6998253826721929,0.8572625716847339,0.7378272379244327,0.6547702558140929,0.7435816533358753,-0.19649467179374536,0.704504235947826,1.0,0.20316944731109887,0.05753417455071946,-0.17155854928936154
robot,0.18005018433615785,0.13912036123690744,0.10940877040015771,0.2586805704241141,0.21584407808818457,0.2554671492870831,0.37317223116067727,0.040944321121839676,0.25537969920187836,0.2605747199820882,0.30791976967864626,0.2193147259011488,0.08186462226481116,0.26550412863442396,-0.05367772814891339,0.2941630220059889,0.20316944731109887,1.0,0.07084997727643474,0.08484498937174947
réalité virtuelle,0.5258581502970181,0.025819298361058965,0.36287364289536067,-0.050365684959829835,0.1741817817423153,-0.13965726465560876,0.16900473413706035,0.06975264626306255,0.19965097162299103,0.30774298477518813,0.06766880800024554,-0.10257221982196049,0.11681187992662653,0.27096600217219735,0.4599696709777324,0.029493354149980184,0.05753417455071946,0.07084997727643474,1.0,0.28501291688951585
serveur,0.45727036486636186,-0.13362530972323697,0.335480219313423,0.2269958260127082,0.30208106764495807,-0.24253670874936298,0.029358469988012836,0.0451781412812682,0.033879701208940474,0.1606477691295197,-0.06625030773151613,-0.18012959078831303,-0.006699350911932232,0.14145985747641598,0.3651384613731138,-0.03066309760979879,-0.17155854928936154,0.08484498937174947,0.28501291688951585,1.0
