date,valeur,mot_cle
2020-01-01,89,algorithme
2020-02-01,88,algorithme
2020-03-01,99,algorithme
2020-04-01,79,algorithme
2020-05-01,81,algorithme
2020-06-01,68,algorithme
2020-07-01,41,algorithme
2020-08-01,40,algorithme
2020-09-01,83,algorithme
2020-10-01,85,algorithme
2020-11-01,87,algorithme
2020-12-01,73,algorithme
2021-01-01,83,algorithme
2021-02-01,79,algorithme
2021-03-01,82,algorithme
2021-04-01,80,algorithme
2021-05-01,74,algorithme
2021-06-01,63,algorithme
2021-07-01,33,algorithme
2021-08-01,34,algorithme
2021-09-01,73,algorithme
2021-10-01,90,algorithme
2021-11-01,91,algorithme
2021-12-01,74,algorithme
2022-01-01,100,algorithme
2022-02-01,93,algorithme
2022-03-01,93,algorithme
2022-04-01,81,algorithme
2022-05-01,83,algorithme
2022-06-01,80,algorithme
2022-07-01,44,algorithme
2022-08-01,40,algorithme
2022-09-01,83,algorithme
2022-10-01,86,algorithme
2022-11-01,89,algorithme
2022-12-01,75,algorithme
2023-01-01,91,algorithme
2023-02-01,78,algorithme
2023-03-01,88,algorithme
2023-04-01,76,algorithme
2023-05-01,75,algorithme
2023-06-01,67,algorithme
2023-07-01,41,algorithme
2023-08-01,39,algorithme
2023-09-01,68,algorithme
2023-10-01,78,algorithme
2023-11-01,80,algorithme
2023-12-01,89,algorithme
2024-01-01,76,algorithme
2024-02-01,76,algorithme
2024-03-01,76,algorithme
2024-04-01,74,algorithme
2024-05-01,83,algorithme
2024-06-01,63,algorithme
2024-07-01,35,algorithme
2024-08-01,31,algorithme
2024-09-01,61,algorithme
2024-10-01,70,algorithme
2024-11-01,73,algorithme
2024-12-01,59,algorithme
2025-01-01,74,algorithme
2025-02-01,67,algorithme
2025-03-01,73,algorithme
2025-04-01,63,algorithme
2025-05-01,61,algorithme
2025-06-01,55,algorithme
2025-07-01,33,algorithme
2025-08-01,29,algorithme
2025-09-01,59,algorithme
2025-10-01,52,algorithme
2025-11-01,62,algorithme
2025-12-01,51,algorithme
2020-01-01,47,automatisation
2020-02-01,41,automatisation
2020-03-01,37,automatisation
2020-04-01,35,automatisation
2020-05-01,35,automatisation
2020-06-01,39,automatisation
2020-07-01,37,automatisation
2020-08-01,34,automatisation
2020-09-01,59,automatisation
2020-10-01,51,automatisation
2020-11-01,48,automatisation
2020-12-01,44,automatisation
2021-01-01,45,automatisation
2021-02-01,44,automatisation
2021-03-01,49,automatisation
2021-04-01,45,automatisation
2021-05-01,45,automatisation
2021-06-01,37,automatisation
2021-07-01,37,automatisation
2021-08-01,31,automatisation
2021-09-01,47,automatisation
2021-10-01,44,automatisation
2021-11-01,50,automatisation
2021-12-01,46,automatisation
2022-01-01,54,automatisation
2022-02-01,63,automatisation
2022-03-01,59,automatisation
2022-04-01,54,automatisation
2022-05-01,60,automatisation
