date,algorithme,automatisation,big data,bitcoin,blockchain,chatgpt,cloud computing,cybersécurité,data science,deep learning,gpu,ia,intelligence artificielle,machine learning,metaverse,nvidia,openai,robot,réalité virtuelle,serveur
2020-01-01,89,47,90,19,55,0,33,8,29,38,19,4,14,35,0,22,0,62,94,68
2020-02-01,88,41,95,23,43,0,31,6,28,38,18,4,14,37,0,23,0,51,100,75
2020-03-01,99,37,80,42,34,0,29,5,23,33,19,6,12,32,0,25,0,54,64,97
2020-04-01,79,35,72,30,37,0,29,4,27,33,24,5,13,35,0,28,0,86,58,100
2020-05-01,81,35,84,33,35,0,28,5,24,33,23,5,11,34,0,26,0,95,59,91
2020-06-01,68,39,74,18,34,0,24,5,29,39,20,5,9,35,0,24,0,73,51,77
2020-07-01,41,37,61,18,42,0,19,6,26,34,19,3,7,30,0,23,0,58,53,72
2020-08-01,40,34,48,24,42,0,20,5,24,28,19,3,7,27,0,25,0,56,61,70
2020-09-01,83,59,100,17,39,0,29,7,32,34,24,4,11,35,0,41,0,53,61,68
2020-10-01,85,51,78,18,37,0,27,7,26,30,20,4,12,32,0,27,0,64,62,72
2020-11-01,87,48,75,35,49,0,32,7,23,32,27,4,14,31,0,29,0,100,64,77
2020-12-01,73,44,63,43,53,0,27,6,22,29,26,3,12,29,0,35,0,100,71,73
2021-01-01,83,45,67,93,70,0,29,8,26,31,27,4,13,34,0,29,0,74,50,73
2021-02-01,79,44,69,100,82,0,32,10,28,33,27,4,12,34,0,27,0,71,48,82
2021-03-01,82,49,72,70,78,0,33,10,25,34,24,4,14,36,0,25,0,72,45,81
2021-04-01,80,45,63,66,80,0,24,8,23,30,24,4,11,31,1,25,0,70,45,86
2021-05-01,74,45,60,89,78,0,23,8,23,30,21,4,12,29,1,21,0,74,42,71
2021-06-01,63,37,54,59,50,0,22,9,23,27,20,4,10,28,0,23,0,61,47,67
2021-07-01,33,37,38,44,41,0,18,9,21,22,19,3,6,23,2,21,0,56,53,69
2021-08-01,34,31,33,46,46,0,18,7,19,21,20,3,7,19,4,19,0,56,53,70
2021-09-01,73,47,71,43,59,0,26,11,27,29,22,4,10,28,5,20,0,58,51,67
2021-10-01,90,44,66,49,64,0,24,10,26,32,24,4,13,31,41,21,0,60,69,74
2021-11-01,91,50,67,46,92,0,31,10,26,35,25,4,13,36,67,26,0,87,80,69
2021-12-01,74,46,53,48,80,0,27,10,26,30,25,4,13,31,68,29,0,78,85,76
2022-01-01,100,54,72,63,100,0,33,13,30,41,34,5,17,40,100,36,1,72,78,89
2022-02-01,93,63,78,58,91,0,35,14,34,47,32,4,15,46,86,33,0,59,85,98
