date,valeur,mot_cle
2020-01-01,14,intelligence artificielle
2020-02-01,14,intelligence artificielle
2020-03-01,12,intelligence artificielle
2020-04-01,13,intelligence artificielle
2020-05-01,11,intelligence artificielle
2020-06-01,9,intelligence artificielle
2020-07-01,7,intelligence artificielle
2020-08-01,7,intelligence artificielle
2020-09-01,11,intelligence artificielle
2020-10-01,12,intelligence artificielle
2020-11-01,14,intelligence artificielle
2020-12-01,12,intelligence artificielle
2021-01-01,14,intelligence artificielle
2021-02-01,13,intelligence artificielle
2021-03-01,14,intelligence artificielle
2021-04-01,12,intelligence artificielle
2021-05-01,13,intelligence artificielle
2021-06-01,10,intelligence artificielle
2021-07-01,6,intelligence artificielle
2021-08-01,7,intelligence artificielle
2021-09-01,10,intelligence artificielle
2021-10-01,13,intelligence artificielle
2021-11-01,14,intelligence artificielle
2021-12-01,13,intelligence artificielle
2022-01-01,17,intelligence artificielle
2022-02-01,15,intelligence artificielle
2022-03-01,21,intelligence artificielle
2022-04-01,17,intelligence artificielle
2022-05-01,14,intelligence artificielle
2022-06-01,13,intelligence artificielle
2022-07-01,9,intelligence artificielle
2022-08-01,9,intelligence artificielle
2022-09-01,13,intelligence artificielle
2022-10-01,14,intelligence artificielle
2022-11-01,18,intelligence artificielle
2022-12-01,23,intelligence artificielle
2023-01-01,45,intelligence artificielle
2023-02-01,37,intelligence artificielle
2023-03-01,43,intelligence artificielle
2023-04-01,55,intelligence artificielle
2023-05-01,50,intelligence artificielle
2023-06-01,39,intelligence artificielle
2023-07-01,24,intelligence artificielle
2023-08-01,24,intelligence artificielle
2023-09-01,34,intelligence artificielle
2023-10-01,36,intelligence artificielle
2023-11-01,41,intelligence artificielle
2023-12-01,39,intelligence artificielle
2024-01-01,41,intelligence artificielle
2024-02-01,39,intelligence artificielle
2024-03-01,44,intelligence artificielle
2024-04-01,37,intelligence artificielle
2024-05-01,37,intelligence artificielle
2024-06-01,38,intelligence artificielle
2024-07-01,27,intelligence artificielle
2024-08-01,23,intelligence artificielle
2024-09-01,31,intelligence artificielle
2024-10-01,39,intelligence artificielle
2024-11-01,39,intelligence artificielle
2024-12-01,43,intelligence artificielle
2025-01-01,58,intelligence artificielle
2025-02-01,100,intelligence artificielle
2025-03-01,74,intelligence artificielle
2025-04-01,62,intelligence artificielle
2025-05-01,35,intelligence artificielle
2025-06-01,36,intelligence artificielle
2025-07-01,28,intelligence artificielle
2025-08-01,27,intelligence artificielle
2025-09-01,32,intelligence artificielle
2025-10-01,35,intelligence artificielle
2025-11-01,34,intelligence artificielle
2025-12-01,33,intelligence artificielle
2020-01-01,4,ia
2020-02-01,4,ia
2020-03-01,6,ia
2020-04-01,5,ia
2020-05-01,5,ia
2020-06-01,5,ia
2020-07-01,3,ia
2020-08-01,3,ia
2020-09-01,5,ia
2020-10-01,4,ia
2020-11-01,4,ia
2020-12-01,4,ia
2021-01-01,4,ia
2021-02-01,4,ia
2021-03-01,4,ia
2021-04-01,4,ia
2021-05-01,4,ia
2021-06-01,4,ia
2021-07-01,3,ia
2021-08-01,3,ia
2021-09-01,4,ia
2021-10-01,4,ia
2021-11-01,4,ia
2021-12-01,4,ia
2022-01-01,5,ia
2022-02-01,5,ia
2022-03-01,5,ia
2022-04-01,5,ia
2022-05-01,5,ia
2022-06-01,6,ia
2022-07-01,4,ia
2022-08-01,4,ia
2022-09-01,6,ia
2022-10-01,6,ia
2022-11-01,8,ia
2022-12-01,12,ia
2023-01-01,16,ia
2023-02-01,15,ia
2023-03-01,18,ia
2023-04-01,21,ia
2023-05-01,24,ia
2023-06-01,21,ia
2023-07-01,18,ia
2023-08-01,19,ia
2023-09-01,24,ia
2023-10-01,30,ia
2023-11-01,32,ia
2023-12-01,36,ia
2024-01-01,34,ia
2024-02-01,38,ia
2024-03-01,42,ia
2024-04-01,42,ia
2024-05-01,42,ia
2024-06-01,41,ia
2024-07-01,34,ia
2024-08-01,35,ia
2024-09-01,50,ia
2024-10-01,56,ia
2024-11-01,62,ia
2024-12-01,63,ia
2025-01-01,74,ia
2025-02-01,100,ia
2025-03-01,84,ia
2025-04-01,93,ia
2025-05-01,81,ia
2025-06-01,75,ia
2025-07-01,62,ia
2025-08-01,59,ia
2025-09-01,76,ia
2025-10-01,86,ia
2025-11-01,92,ia
2025-12-01,90,ia
2020-01-01,0,chatgpt
2020-02-01,0,chatgpt
2020-03-01,0,chatgpt
2020-04-01,0,chatgpt
2020-05-01,0,chatgpt
2020-06-01,0,chatgpt
2020-07-01,0,chatgpt
2020-08-01,0,chatgpt
2020-09-01,0,chatgpt
2020-10-01,0,chatgpt
2020-11-01,0,chatgpt
2020-12-01,0,chatgpt
2021-01-01,0,chatgpt
2021-02-01,0,chatgpt
2021-03-01,0,chatgpt
2021-04-01,0,chatgpt
2021-05-01,0,chatgpt
2021-06-01,0,chatgpt
2021-07-01,0,chatgpt
2021-08-01,0,chatgpt
2021-09-01,0,chatgpt
2021-10-01,0,chatgpt
2021-11-01,0,chatgpt
2021-12-01,0,chatgpt
2022-01-01,0,chatgpt
2022-02-01,0,chatgpt
2022-03-01,0,chatgpt
2022-04-01,0,chatgpt
2022-05-01,0,chatgpt
2022-06-01,0,chatgpt
2022-07-01,0,chatgpt
2022-08-01,0,chatgpt
2022-09-01,0,chatgpt
2022-10-01,0,chatgpt
2022-11-01,0,chatgpt
2022-12-01,5,chatgpt
2023-01-01,18,chatgpt
2023-02-01,18,chatgpt
2023-03-01,21,chatgpt
2023-04-01,24,chatgpt
2023-05-01,22,chatgpt
2023-06-01,18,chatgpt
2023-07-01,14,chatgpt
2023-08-01,12,chatgpt
2023-09-01,19,chatgpt
2023-10-01,23,chatgpt
2023-11-01,23,chatgpt
2023-12-01,21,chatgpt
2024-01-01,21,chatgpt
2024-02-01,22,chatgpt
2024-03-01,23,chatgpt
2024-04-01,21,chatgpt
2024-05-01,21,chatgpt
2024-06-01,18,chatgpt
2024-07-01,13,chatgpt
2024-08-01,13,chatgpt
2024-09-01,26,chatgpt
2024-10-01,37,chatgpt
2024-11-01,49,chatgpt
2024-12-01,46,chatgpt
2025-01-01,49,chatgpt
2025-02-01,47,chatgpt
2025-03-01,51,chatgpt
2025-04-01,58,chatgpt
2025-05-01,63,chatgpt
2025-06-01,76,chatgpt
2025-07-01,67,chatgpt
2025-08-01,55,chatgpt
2025-09-01,83,chatgpt
2025-10-01,84,chatgpt
2025-11-01,100,chatgpt
2025-12-01,93,chatgpt
2020-01-01,0,openai
2020-02-01,0,openai
2020-03-01,0,openai
2020-04-01,0,openai
2020-05-01,0,openai
2020-06-01,0,openai
2020-07-01,0,openai
2020-08-01,0,openai
2020-09-01,0,openai
2020-10-01,0,openai
2020-11-01,0,openai
2020-12-01,0,openai
2021-01-01,0,openai
2021-02-01,0,openai
2021-03-01,0,openai
2021-04-01,0,openai
2021-05-01,0,openai
2021-06-01,0,openai
2021-07-01,0,openai
2021-08-01,0,openai
2021-09-01,0,openai
2021-10-01,0,openai
2021-11-01,0,openai
2021-12-01,0,openai
2022-01-01,1,openai
2022-02-01,0,openai
2022-03-01,0,openai
2022-04-01,1,openai
2022-05-01,1,openai
2022-06-01,1,openai
2022-07-01,1,openai
2022-08-01,1,openai
2022-09-01,1,openai
2022-10-01,2,openai
2022-11-01,2,openai
2022-12-01,29,openai
2023-01-01,55,openai
2023-02-01,37,openai
